,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
0,21st century classical,0.7546,0.2841,352593.2,0.15958,0.484374,0.16858,-22.1534,0.06206,91.351,0.14338,6.6,4,1
1,432hz,0.4855146666666666,0.3119999999999999,1047430.4,0.3916783333333332,0.4772503333333334,0.26594,-18.131266666666665,0.0717166666666666,118.90093333333331,0.2364833333333333,41.2,11,1
2,8-bit,0.0289,0.6729999999999999,133454.0,0.95,0.63,0.069,-7.899,0.292,192.816,0.997,0.0,5,1
3,[],0.5357927015701375,0.5469369863624278,249531.244587368,0.4854298914390353,0.2784420095304963,0.2209695039949705,-11.624753757749549,0.1015105749326794,116.06897995725546,0.4863611197866749,12.350770065284552,7,1
4,a cappella,0.6942764402427637,0.5161721621982125,201839.07190209412,0.3305325350140056,0.036079901951914,0.2229827937841803,-12.656546985460851,0.0836274223022542,105.50603098572762,0.454077064158997,39.08624783246632,7,1
5,abstract,0.4112619999999999,0.4735999999999999,366098.4,0.4794,0.8413999999999999,0.09716,-15.7994,0.0452999999999999,142.4954,0.27426,43.8,5,1
6,abstract beats,0.459,0.669,174867.0,0.735,0.0,0.103,-7.2639999999999985,0.329,117.284,0.723,62.0,10,1
7,abstract hip hop,0.2973526982734126,0.7252736374522089,228204.87880680017,0.7268439785439786,0.0991868343443819,0.2689378832493118,-7.257105391841106,0.2244368841561698,107.5887732311018,0.6390508681108681,21.050865608008465,1,1
8,abstract idm,0.995,0.174,580533.0,0.00291,0.931,0.0983,-37.518,0.0399,67.56,0.0328,46.0,0,1
9,accordeon,0.59875,0.442,165480.0,0.314,0.607,0.1916749999999999,-12.17425,0.042475,139.8195,0.5115,35.25,2,1
10,accordion,0.4444687499999999,0.6255,165441.5625,0.3713437500000001,0.193737946875,0.16089375,-14.48209375,0.080584375,112.7196875,0.6585625,20.9375,2,1
11,acid house,0.0453583149999999,0.70091,303980.2,0.762467,0.4314987699999998,0.1808485,-9.505465,0.059125,127.60202,0.5772099999999999,32.735,8,0
12,acid jazz,0.3277911111111111,0.6816851851851853,288994.1666666666,0.693574074074074,0.2938795185185186,0.099724074074074,-8.897722222222223,0.0530074074074074,112.92003703703703,0.7863407407407408,28.851851851851848,7,0
13,acid rock,0.2206588558002201,0.4591240264995974,254073.5260015543,0.5948952725008898,0.1607568192996815,0.2290525545104084,-11.27382881095568,0.0712693339417415,129.1352783512326,0.56070692734348,29.79191362307736,2,1
14,acid techno,0.0041052333333333,0.6758333333333333,401250.6666666667,0.8593333333333333,0.8613333333333334,0.2629999999999999,-7.938333333333333,0.1073,131.0135,0.5338333333333333,1.6666666666666667,7,1
15,acid trance,0.003425,0.545,145366.5,0.8775,0.817,0.1765,-8.289000000000001,0.18895,135.381,0.481,40.0,7,1
16,acousmatic,0.9327945011337868,0.4041812409812409,241560.7362270666,0.182684316893424,0.6863879072472171,0.2109176187899402,-21.225812989589773,0.0757561507936507,98.7697033858998,0.2162816725932797,5.658098845598846,5,1
17,acoustic blues,0.7408197051074915,0.6026744551316866,201385.4568504876,0.3659271055241369,0.10518842766503,0.1686471707455953,-12.528313381831412,0.0673752122844099,114.69287909793292,0.6358454287505536,22.238190928721583,9,1
18,acoustic chill,1.32e-05,0.393,59531.0,0.706,5.92e-06,0.873,-5.409,0.0488,128.181,0.155,23.0,1,1
19,acoustic guitar cover,0.977,0.397,242160.0,0.275,0.912,0.119,-17.178,0.0493,168.18099999999995,0.499,5.0,4,0
20,acoustic pop,0.4381176117841933,0.5528025231836704,232309.1574500116,0.5126792460875234,0.0929070310108316,0.1811240364490917,-9.426489138127677,0.0467354277429436,121.12782439102348,0.3920583922050303,46.74553708891674,2,1
21,acoustic punk,0.1173539374999999,0.5693958333333332,204393.87152777775,0.7185868055555557,0.4010075720833332,0.1887267361111111,-10.464649305555554,0.0697652777777777,117.26434027777776,0.5490173611111112,21.55555555555556,11,1
22,acoustic rock,0.3442619047619047,0.562047619047619,205446.85714285716,0.7094285714285714,0.2079528026190476,0.1233071428571428,-5.97004761904762,0.0624619047619047,121.93550000000002,0.7410571428571429,42.97619047619048,8,1
23,action rock,0.4954368333333334,0.5680000000000001,181958.0,0.4641666666666667,0.103000185,0.2085,-11.764333333333337,0.0418333333333333,106.39883333333334,0.5886666666666668,0.0,11,1
24,adoracao,0.000579,0.645,502291.0,0.813,0.542,0.0752,-8.556000000000001,0.0449,117.013,0.488,0.0,10,0
25,adoracion,0.3764654285714285,0.569642857142857,292687.4285714286,0.5800714285714285,0.0258571428571428,0.2225,-6.910714285714286,0.0493,134.91449999999998,0.4061428571428571,42.85714285714285,7,1
26,adult standards,0.6215598021374321,0.5043021630377027,200027.81674504903,0.4138973315089596,0.1310565899528388,0.1986804581614466,-11.836470137177026,0.0580093408449018,114.21955077043756,0.4995589152962626,30.154969115718277,7,1
27,adventista,0.7779460317460316,0.5323174603174604,202442.6031746032,0.3217936507936508,7.459682539682542e-06,0.1393825396825396,-9.31231746031746,0.0289698412698412,113.6516507936508,0.5205714285714286,27.063492063492063,6,1
28,afghan pop,0.5016999999999999,0.6089999999999999,320455.1,0.5738999999999999,0.00124603,0.08186,-11.054,0.0914899999999999,111.3922,0.7716000000000001,35.6,1,1
29,afghan traditional,0.958,0.4403333333333333,278581.3333333333,0.3236666666666666,0.4007066666666667,0.1776666666666666,-14.49766666666667,0.1460333333333333,94.06966666666666,0.7106666666666666,8.333333333333334,1,1
