,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
0,1920,0.6312422636103152,0.515750143266476,238092.9971346705,0.4186995702005729,0.3542185440401147,0.2160492836676219,-12.654020057306598,0.0829836676217765,113.22689971346703,0.4982100286532953,0.6103151862464183,2,1
1,1921,0.8621051282051285,0.432170512820513,257891.7628205128,0.2411363461538462,0.3371582873717947,0.2052185897435897,-16.811660256410242,0.078951923076923,102.4253974358974,0.3782756410256409,0.391025641025641,2,1
2,1922,0.8289338842975207,0.5756198347107437,140135.14049586776,0.2261726446280992,0.2547755020661157,0.2566619834710744,-20.84008264462809,0.4643677685950413,100.0331487603306,0.5711900826446279,0.0909090909090909,5,1
3,1923,0.9572467913513516,0.5773405405405401,177942.36216216217,0.2624064864864865,0.3717327250270269,0.227462162162162,-14.129210810810813,0.0939486486486486,114.01072972972972,0.6254924324324328,5.205405405405405,0,1
4,1924,0.9401998601694928,0.5498940677966102,191046.70762711865,0.3443466101694912,0.5817009136440676,0.23521906779661,-14.231343220338983,0.092089406779661,120.68957203389824,0.6637254237288138,0.6610169491525424,10,1
5,1925,0.962701648745521,0.5748745519713262,184777.623655914,0.2780860215053763,0.4201959369892471,0.2372068100358422,-14.165354838709671,0.111668458781362,115.47983154121864,0.6211870967741934,2.670250896057348,5,1
6,1926,0.6663868848758487,0.5969149736644092,157836.34988713317,0.2105064258841232,0.3360934177050412,0.2320212942061703,-18.48742287434162,0.4779189616252817,109.57097215951842,0.4370937622272383,1.436418359668924,9,1
7,1927,0.9158258200000028,0.6559293333333329,176542.812,0.2679021333333333,0.32099203556,0.1773865333333333,-15.235275999999976,0.261915333333333,112.66370666666654,0.6696757333333335,0.684,1,1
8,1928,0.9391407145098026,0.5349066666666661,214396.0321568628,0.2088558196078431,0.4909548132156862,0.1746573333333332,-17.13142352941175,0.1586453333333333,106.74906196078446,0.4974123137254901,1.4533333333333334,1,1
9,1929,0.6010148370136718,0.6478398527865401,168795.60988433228,0.2419077812828597,0.2154050868243956,0.2359770767613036,-16.533055730809654,0.4904637223974763,110.92671083070452,0.6368048370136701,0.3144058885383806,7,1
10,1930,0.9356248883881172,0.5197101802757159,194691.1028632025,0.334859840933192,0.3518693007900317,0.220634835630965,-12.823486744432676,0.1201979321314951,109.9247884411452,0.6160890774125142,0.8510074231177094,5,1
11,1931,0.8331824380165301,0.5948927685950423,171564.24483471076,0.2347364493801654,0.2219211464876036,0.2272462809917355,-16.509507231404942,0.4527522727272729,108.97437809917368,0.5128472107438018,0.2210743801652892,0,1
12,1932,0.7733629156010245,0.6022140664961636,174763.5230179028,0.2783622762148339,0.1554670425575448,0.2187544757033249,-16.459603580562646,0.4198873401534526,110.47795268542204,0.5988533248081837,1.7838874680306904,1,1
13,1933,0.8908802495726501,0.5700692307692304,196407.0811965812,0.2867542735042735,0.1823878186894585,0.2097210826210825,-12.972915954415964,0.0909280626780626,112.59650427350424,0.5986485754985753,6.873219373219373,7,1
14,1934,0.888513707216495,0.529168384879725,189385.65120274917,0.2635702749140894,0.2761651393814436,0.2127268041237113,-14.755116838487972,0.1020713058419243,115.40552920962192,0.558806013745705,1.309278350515464,0,1
15,1935,0.7794678283151818,0.554997053171045,221102.22421524665,0.2466229147982062,0.2236554470723894,0.2296258167841127,-15.4057604099936,0.3550445227418322,110.72258744394634,0.5445181934657274,1.3721973094170403,7,1
16,1936,0.6019832632999995,0.6233780500000001,172978.595,0.2640076749500002,0.1185088066799999,0.2135561499999997,-19.12315000000001,0.6271309499999987,108.39304699999988,0.5612937999999996,2.6635,1,1
17,1937,0.8655405612708025,0.5426403933434191,223035.1921331316,0.3105124508320724,0.3286776088048414,0.2253400907715582,-13.120916792738273,0.0857835098335854,115.1677428139182,0.5850388804841145,3.281391830559758,7,1
18,1938,0.9136303530546632,0.480510450160772,247940.72186495177,0.2812483922829584,0.3763633597427653,0.2360196141479098,-14.307977491961417,0.0952869774919615,111.64432475884244,0.5146599839228292,2.072347266881029,0,1
