,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
2462,0.972,Billie Holiday,0.504,181440,0.0644,0,4.36e-06,2,0.174,-14.754,0,All of Me (with Eddie Heywood & His Orchestra),63,0.0408,106.994,0.4029999999999999,1933
2462,0.972,Eddie Heywood,0.504,181440,0.0644,0,4.36e-06,2,0.174,-14.754,0,All of Me (with Eddie Heywood & His Orchestra),63,0.0408,106.994,0.4029999999999999,1933
4262,0.6729999999999999,Bing Crosby,0.317,177480,0.158,0,0.353,9,0.3379999999999999,-16.485,1,White Christmas,80,0.0381,130.503,0.247,1942
4262,0.6729999999999999,Ken Darby Singers,0.317,177480,0.158,0,0.353,9,0.3379999999999999,-16.485,1,White Christmas,80,0.0381,130.503,0.247,1942
4262,0.6729999999999999,John Scott Trotter & His Orchestra,0.317,177480,0.158,0,0.353,9,0.3379999999999999,-16.485,1,White Christmas,80,0.0381,130.503,0.247,1942
4662,0.97,Judy Garland,0.156,162333,0.184,0,0.00458,6,0.26,-14.82,1,Have Yourself A Merry Little Christmas,74,0.0393,180.887,0.107,1944
4863,0.77,Bing Crosby,0.473,166000,0.212,0,0.0,0,0.136,-15.018,0,It's Beginning To Look Like Christmas,61,0.0496,96.94,0.5760000000000001,1945
4862,0.6459999999999999,Bing Crosby,0.5,175333,0.2239999999999999,0,0.0,3,0.284,-12.431,1,Mele Kalikimaka (Merry Christmas),64,0.0935,202.481,0.62,1945
4862,0.6459999999999999,The Andrews Sisters,0.5,175333,0.2239999999999999,0,0.0,3,0.284,-12.431,1,Mele Kalikimaka (Merry Christmas),64,0.0935,202.481,0.62,1945
5264,0.847,Gene Autry,0.677,173493,0.241,0,0.0,8,0.0523,-11.133,1,Frosty the Snowman (with The Cass County Boys) - 78rpm Version,61,0.0407,172.315,0.963,1947
5264,0.847,Cass County Boys,0.677,173493,0.241,0,0.0,8,0.0523,-11.133,1,Frosty the Snowman (with The Cass County Boys) - 78rpm Version,61,0.0407,172.315,0.963,1947
5263,0.883,Gene Autry,0.629,186733,0.159,0,0.0,8,0.222,-14.056,1,Rudolph the Red-Nosed Reindeer,65,0.0495,142.157,0.642,1947
5262,0.799,Gene Autry,0.8340000000000001,150267,0.371,0,0.0,1,0.275,-11.99,1,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,73,0.0358,96.628,0.976,1947
